(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|
(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|
(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|
(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|
(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|
(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(249, 249, 249)|(206, 206, 206)|(0, 0, 0)|(0, 0, 0)|(213, 213, 213)|(255, 255, 255)|(254, 254, 254)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|
(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(0, 0, 0)|(3, 3, 3)|(0, 0, 0)|(0, 0, 0)|(0, 0, 0)|(0, 0, 0)|(253, 253, 253)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|
(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(254, 254, 254)|(0, 0, 0)|(0, 0, 0)|(0, 0, 0)|(3, 3, 3)|(0, 0, 0)|(5, 5, 5)|(19, 19, 19)|(3, 3, 3)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|
(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(253, 253, 253)|(2, 2, 2)|(16, 16, 16)|(0, 0, 0)|(255, 255, 255)|(255, 255, 255)|(254, 254, 254)|(255, 255, 255)|(0, 0, 0)|(0, 0, 0)|(0, 0, 0)|(254, 254, 254)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|
(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(2, 2, 2)|(33, 33, 33)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(0, 0, 0)|(2, 2, 2)|(2, 2, 2)|(250, 250, 250)|(251, 251, 251)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|(255, 255, 255)|
